43,40,91,35
33,36,33,36
12,0,5,5
114,0,115,73
123,99,315,115
141,0,0,73
105,21,0,144
137,0,0,96
74,37,159,228
127,70,332,274
55,45,236,147
22,44,60,108
83,0,105,163
43,133,282,145
64,41,66,66
71,0,91,169
30,0,61,156
26,48,83,52
52,0,0,146
29,70,49,72
159,79,0,37
154,256,61,200
97,14,102,179
144,44,88,354
38,165,51,211
56,37,114,197
73,155,92,116
38,84,178,99
31,68,77,31
21,16,61,30
45,0,31,148
33,24,0,191
83,4,159,189
109,0,0,0
60,87,210,107
128,155,99,425
20,13,215,194
81,105,181,209
13,59,104,99
37,97,193,222
38,56,186,106
29,123,198,128
52,25,56,190
25,96,252,218
69,8,153,320
21,0,180,133
79,39,97,268
35,75,53,114
90,30,278,364
34,118,127,256
71,86,213,350
26,0,59,121
79,85,133,466
51,5,0,160
42,151,163,204
31,30,163,121
45,94,326,195
41,61,327,195
38,71,17,170
103,0,382,246
27,21,36,166
186,0,91,379
49,33,72,210
168,33,362,351
18,119,79,186
57,0,245,362
19,64,102,130
29,70,132,183
58,38,251,260
38,107,164,187
36,86,0,159
32,127,292,166
108,135,346,177
26,106,303,192
73,100,132,351
0,93,51,256
184,110,358,506
63,76,139,128
96,114,58,173
37,11,46,216
